PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,Population<br>Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IA9835001,JOICE WATER SUPPLY,Community water system,Ground water,Worth,JOICE,208,8,0,7
IA1335001,JOLLEY WATER SUPPLY,Community water system,Ground water,Calhoun,JOLLEY,28,6,30,11
IA9233012,KALONA WATER DEPT,Community water system,Ground water,Washington,KALONA,"2,630",16,3,14
IA7000686,KAMMERER MOBILE HOME PARK,Community water system,Ground water,Muscatine,MUSCATINE,100,11,53,14
IA4150014,KANAWHA WATER SUPPLY,Community water system,Ground water,Hancock,KANAWHA,658,7,1,10
IA8040015,KELLERTON WATER SUPPLY,Community water system,Surface water purchased,Ringgold,KELLERTON,243,14,9,10
IA8548016,KELLEY WATER SUPPLY,Community water system,Purchased ground water under influence of surface water source,Story,KELLEY,304,8,1,9
IA5038017,KELLOGG WATER SUPPLY,Community water system,Ground water,Jasper,KELLOGG,606,13,4,10
IA9840018,KENSETT WATER SUPPLY,Community water system,Ground water,Worth,KENSETT,257,7,6,11
IA5640019,KEOKUK MUNICIPAL WATER WORKS,Community water system,Surface water,Lee,KEOKUK,"9,900",16,7,13
IA8938026,KEOSAUQUA WATER WORKS,Community water system,Surface water purchased,Van Buren,KEOSAUQUA,961,11,8,10
IA5440028,KEOTA WATER DEPT,Community water system,Ground water,Keokuk,KEOTA,897,11,10,13
IA5200802,KESSLERS HOMEOWNERS ASSN,Community water system,Ground water,Johnson,IOWA CITY,65,6,13,11
IA5442029,KESWICK WATER SYSTEM,Community water system,Surface water purchased,Keokuk,KESWICK,242,7,3,12
IA0640030,KEYSTONE WATER SUPPLY,Community water system,Ground water,Benton,KEYSTONE,599,8,32,8
IA0543031,KIMBALLTON UTILITIES,Community water system,Ground water,Audubon,KIMBALLTON,291,11,15,9
IA7537032,KINGSLEY WATER SUPPLY,Community water system,Ground water,Plymouth,KINGSLEY,"1,396",10,10,9
IA2432034,KIRON WATER SUPPLY,Community water system,Ground water purchased,Crawford,KIRON,267,16,22,11
IA4155035,KLEMME WATER WORKS,Community water system,Ground water,Hancock,KLEMME,441,9,14,11
IA1340001,KNIERIM WATER SUPPLY,Community water system,Ground water,Calhoun,KNIERIM,53,7,6,9
IA8222301,KNOLLCREST HOA,Community water system,Ground water,Scott,DAVENPORT,42,11,71,4
IA6342036,KNOXVILLE WATER WORKS,Community water system,Ground water,Marion,KNOXVILLE,"7,595",16,2,9
IA4945052,LA MOTTE WATER SUPPLY,Community water system,Ground water,Jackson,LA MOTTE,237,7,2,9
IA0743057,LA PORTE CITY UTILITIES,Community water system,Ground water,Black Hawk,LA PORTE CITY,"2,284",16,9,8
IA9138041,LACONA WATER SUPPLY,Community water system,Ground water purchased,Warren,LACONA,345,6,5,15
IA4840042,LADORA WATER SUPPLY,Community water system,Ground water,Iowa,LADORA,229,9,8,13
IA1345043,LAKE CITY WATER SUPPLY,Community water system,Ground water,Calhoun,LAKE CITY,"1,731",10,45,10
IA1178800,LAKE CREEK HOMEOWNERS ASSOCIATION,Community water system,Ground water purchased,Buena Vista,STORM LAKE,175,6,2,9
IA5200891,LAKE CREST MANOR HOA #3,Community water system,Ground water,Johnson,SOLON,300,7,11,11
IA8230302,LAKE HUNTINGTON ESTATES,Community water system,Ground water,Scott,ELDRIDGE,100,7,6,10
IA5282305,LAKE MACBRIDE HEIGHTS HOA,Community water system,Ground water,Johnson,SOLON,69,6,17,10
IA9545044,LAKE MILLS MUNICIPAL WATER DEPT-SOUTH,Community water system,Ground water,Winnebago,LAKE MILLS,"2,143",13,6,15
IA3900301,LAKE PANORAMA WATER COMPANY,Community water system,Ground water,Guthrie,PANORA,"2,750",16,38,13
IA3045046,LAKE PARK MUNICIPAL UTILITIES,Community water system,Ground water purchased,Dickinson,LAKE PARK,"1,167",10,10,10
IA5225315,"LAKE RIDGE, INCORPORATED",Community water system,Ground water,Johnson,IOWA CITY,"1,300",9,19,11
IA8127048,LAKE VIEW WATER SUPPLY,Community water system,Ground water,Sac,LAKE VIEW,"1,113",16,6,9
IA5282302,LAKE VISTA SUBDIVISION,Community water system,Ground water,Johnson,SWISHER,134,5,8,10
IA5280305,LAKE WOODS HOA,Community water system,Ground water,Johnson,SHUEYVILLE,72,5,0,5
IA7812601,LAKESIDE ESTATES LLC,Community water system,Surface water purchased,Pottawattamie,CARTER LAKE,823,4,1,1
IA1145047,LAKESIDE WATER SUPPLY,Community water system,Ground water purchased,Buena Vista,LAKESIDE,700,6,2,8
IA5200304,LAKEVIEW KNOLLS HOMEOWNERS ASSN.,Community water system,Ground water,Johnson,IOWA CITY,122,7,19,11
IA9433324,LAKEWOOD UTILITIES,Community water system,Ground water,Webster,FORT DODGE,135,10,50,11
IA5540049,LAKOTA WATER SUPPLY,Community water system,Ground water,Kossuth,LAKOTA,267,9,16,13
IA2740050,LAMONI MUNICIPAL UTILITIES,Community water system,Surface water,Decatur,LAMONI,"1,969",21,15,12
IA1051051,LAMONT WATER SUPPLY,Community water system,Ground water,Buchanan,LAMONT,429,11,1,9
IA1449053,LANESBORO WATER WORKS,Community water system,Ground water,Carroll,LANESBORO,119,7,21,13
IA0345054,LANSING WATER SUPPLY,Community water system,Ground water,Allamakee,LANSING,968,13,5,8
IA6050059,LARCHWOOD WATER SUPPLY,Community water system,Ground water purchased,Lyon,LARCHWOOD,926,12,15,9
IA1833060,LARRABEE MUNICIPAL WATER WORKS,Community water system,Ground water purchased,Cherokee,LARRABEE,123,5,14,9
IA3554061,LATIMER WATER SUPPLY,Community water system,Ground water,Franklin,LATIMER,477,11,1,12
IA6452062,LAUREL MUNICIPAL WATER WORKS,Community water system,Ground water purchased,Marshall,LAUREL,220,8,2,8
IA7614063,LAURENS WATER SUPPLY,Community water system,Ground water,Pocahontas,LAURENS,"1,264",14,1,9
IA1957064,LAWLER WATER SUPPLY,Community water system,Ground water,Chickasaw,LAWLER,406,8,7,10
IA9743065,LAWTON WATER SUPPLY,Community water system,Ground water,Woodbury,LAWTON,943,16,8,10
IA6457070,LE GRAND WATER WORKS,Community water system,Ground water purchased,Marshall,LE GRAND,905,13,8,11
IA8218302,LEAF LAKE ESTATES HOA,Community water system,Ground water,Scott,BUFFALO,53,5,0,6
IA5543069,LEDYARD WATER SUPPLY,Community water system,Ground water,Kossuth,LEDYARD,121,7,7,11
IA9453071,LEHIGH WATER SUPPLY,Community water system,Ground water,Webster,LEHIGH,395,10,22,11
IA9083602,LEISURE LIVING MANF HOME COMMUNITY,Community water system,Surface water purchased,Wapello,OTTUMWA,150,4,0,2
IA9549073,LELAND WATER SUPPLY,Community water system,Ground water,Winnebago,LELAND,249,9,3,12
IA7540174,LEMARS WATER DEPARTMENT,Community water system,Ground water,Plymouth,LE MARS,"10,571",23,16,10
IA8748075,LENOX WATER SUPPLY,Community water system,Surface water purchased,Taylor,LENOX,"1,339",16,5,9
IA0717353,LENWOOD UTILITIES,Community water system,Ground water,Black Hawk,DUNKERTON,255,9,25,11
IA2742076,LEON WATER SUPPLY,Community water system,Surface water,Decatur,LEON,"1,822",18,24,15
IA6055077,LESTER WATER SUPPLY,Community water system,Ground water purchased,Lyon,LESTER,296,12,11,9
IA8486701,LEWIS AND CLARK REGIONAL WATER SYSTEM,Community water system,Ground water purchased,Sioux,HULL,25,15,0,5
IA1535078,LEWIS WATER SUPPLY,Community water system,Ground water,Cass,LEWIS,357,12,7,12
IA5148079,LIBERTYVILLE WATER WORKS,Community water system,Ground water purchased,Jefferson,LIBERTYVILLE,274,6,3,11
IA1453080,LIDDERDALE WATER SUPPLY,Community water system,Ground water purchased,Carroll,LIDDERDALE,166,9,41,10
IA4535081,LIME SPRINGS WATER SUPPLY,Community water system,Ground water,Howard,LIME SPRINGS,473,8,7,10
IA5285301,LINDSEY ESTATES,Community water system,Ground water,Johnson,SWISHER,58,9,2,2
IA9352084,LINEVILLE WATER SUPPLY,Community water system,Surface water purchased,Wayne,LINEVILLE,195,8,1,10
IA1147085,LINN GROVE WATER WORKS,Community water system,Ground water,Buena Vista,LINN GROVE,163,12,3,9
IA9200601,LINN HOLLOW MHP LLC,Community water system,Ground water,Washington,WASHINGTON,68,5,80,11
IA5748086,LISBON WATER SUPPLY,Community water system,Ground water,Linn,LISBON,"2,233",14,15,11
IA6462087,LISCOMB WATER SUPPLY,Community water system,Ground water purchased,Marshall,LISCOMB,291,9,2,8
IA1677601,LITTLE BEAR CAMPGROUND,Community water system,Ground water,Cedar,WEST LIBERTY,45,4,5,3
IA6060006,LITTLE ROCK WATER SUPPLY,Community water system,Ground water purchased,Lyon,LITTLE ROCK,439,6,1,10
IA4333089,LITTLE SIOUX WATER DEPARTMENT,Community water system,Ground water,Harrison,LITTLE SIOUX,166,9,11,19
IA4647090,LIVERMORE WATER SUPPLY,Community water system,Ground water,Humboldt,LIVERMORE,383,11,4,13
IA9433801,LIZARD CREEK RANCH,Community water system,Ground water,Webster,FORT DODGE,125,7,21,8
IA5157091,LOCKRIDGE MUNI WATER SUPPLY,Community water system,Ground water purchased,Jefferson,LOCKRIDGE,244,10,11,11
IA4337092,LOGAN WATER SUPPLY,Community water system,Ground water,Harrison,LOGAN,"1,397",16,5,9
IA0837701,LOGANSPORT WATER SYSTEM,Community water system,Purchased ground water under influence of surface water source,Boone,BOONE,150,4,1,9
IA1389001,LOHRVILLE WATER SUPPLY,Community water system,Ground water,Calhoun,LOHRVILLE,381,11,8,10
IA5547094,LONE ROCK WATER SUPPLY,Community water system,Ground water,Kossuth,LONE ROCK,146,12,36,11
IA5240095,LONE TREE MUNI WATER SYSTEM,Community water system,Ground water,Johnson,LONE TREE,"1,357",12,13,12
IA1700642,LONG BEACH MOBILE PARK,Community water system,Ground water,Cerro Gordo,CLEAR LAKE,50,11,12,11
IA8251096,LONG GROVE MUNI WATER SUPPLY,Community water system,Ground water,Scott,LONG GROVE,838,8,7,11
IA5252302,LONGVIEW ESTATES HOA (NORTH LIBERTY),Community water system,Ground water,Johnson,NORTH LIBERTY,108,5,2,4
IA3100601,LORE MOUND MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,68,9,14,10
IA3126306,LORE OAKS HOMEOWNERS ASSN.,Community water system,Ground water,Dubuque,DUBUQUE,64,5,7,9
IA3100608,LOST CANYON MHP (PEOSTA),Community water system,Ground water,Dubuque,PEOSTA,97,6,15,10
IA2346047,LOST NATION WATER SUPPLY,Community water system,Ground water,Clinton,LOST NATION,434,9,22,17
IA5800901,LOUISA CO LAW ENFORCEMENT CTR,Community water system,Ground water,Louisa,WAPELLO,46,7,29,10
IA7000689,LOUISA COURTS MHP & SALES,Community water system,Ground water,Muscatine,MUSCATINE,121,7,35,12
IA5842102,LOUISA GENERATING STATION WS 2,Community water system,Ground water,Muscatine,GRANDVIEW,100,17,1,9
IA6858000,LOVILIA MUNICIPAL WATER DEPARTMENT,Community water system,Surface water purchased,Monroe,LOVILIA,472,7,0,10
IA2348002,LOW MOOR WATER WORKS,Community water system,Ground water,Clinton,LOW MOOR,250,8,1,11
IA1656001,LOWDEN WATER SUPPLY,Community water system,Ground water,Cedar,LOWDEN,807,10,3,11
IA5551006,LU VERNE WATER SUPPLY,Community water system,Ground water,Kossuth,LUVERNE,258,7,7,13
IA2254061,LUANA WATER WORKS,Community water system,Ground water,Clayton,LUANA,301,11,4,9
IA3158001,LUXEMBURG WATER SUPPLY,Community water system,Ground water,Dubuque,LUXEMBURG,245,9,2,9
IA5225301,LYN-DEN HEIGHTS HOMEOWNERS ASSOC.,Community water system,Ground water,Johnson,IOWA CITY,84,5,18,13
IA5047008,LYNNVILLE WATER DEPT,Community water system,Ground water purchased,Jasper,LYNNVILLE,380,8,7,9
IA6000755,LYON-SIOUX RWS-BIG SIOUX,Community water system,Ground water,Lyon,ROCK RAPIDS,"1,445",42,15,10
IA6000744,LYON-SIOUX RWS-BOYDEN,Community water system,Ground water,Lyon,ROCK RAPIDS,605,44,14,10
IA6000733,LYON-SIOUX RWS-DOON,Community water system,Ground water,Lyon,DOON,"1,747",45,5,10
IA6000800,LYON-SIOUX RWS-ROCK RAPIDS,Community water system,Ground water purchased,Lyon,ROCK RAPIDS,"1,187",20,1,10
IA8133009,LYTTON WATER DEPARTMENT,Community water system,Ground water,Calhoun,LYTTON,282,12,14,10
IA5282310,MACBRIDE ESTATES DEVELOPMENT,Community water system,Ground water,Johnson,SOLON,63,6,33,4
IA5282311,MACBRIDE POINTE THIRD MASTER MAINTENANCE,Community water system,Ground water,Johnson,SOLON,25,5,18,2
IA7841014,MACEDONIA WATER SUPPLY,Community water system,Ground water,Pottawattamie,MACEDONIA,267,9,19,11
IA0848015,MADRID WATER DEPARTMENT,Community water system,Groundwater under influence of surface water,Boone,MADRID,"2,802",14,2,11
IA4341017,"MAGNOLIA, CITY OF",Community water system,Ground water,Harrison,MAGNOLIA,190,8,18,17
IA5159001,MAHARISHI VEDIC CITY WATER SUPPLY,Community water system,Ground water purchased,Jefferson,MAHARISHI VEDIC CITY,60,4,1,1
IA6264063,MAHASKA RURAL WATER (NEW SHARON),Community water system,Ground water,Mahaska,NEW SHARON,"1,318",14,10,11
IA6273901,"MAHASKA RURAL WATER SYSTEM, INC.",Community water system,Ground water,Mahaska,OSKALOOSA,"8,142",44,7,12
IA5225304,MAKADA HOMEOWNERS ASSOCIATION,Community water system,Ground water,Johnson,IOWA CITY,85,7,43,10
IA7945018,MALCOM WATER SUPPLY,Community water system,Ground water purchased,Poweshiek,MALCOM,270,7,3,9
IA7450019,MALLARD WATER SUPPLY,Community water system,Ground water,Palo Alto,MALLARD,257,10,21,10
IA6545020,MALVERN WATER SUPPLY,Community water system,Ground water,Mills,MALVERN,"1,046",16,15,10
IA2839021,MANCHESTER WATER SUPPLY,Community water system,Ground water,Delaware,MANCHESTER,"5,065",22,2,9
IA2436023,MANILLA MUNI SERVICE DEPT,Community water system,Ground water,Crawford,MANILLA,775,10,7,11
IA9845024,MANLY WATER SUPPLY,Community water system,Ground water,Worth,MANLY,"1,256",11,1,12
IA1457025,MANNING WATER SUPPLY,Community water system,Ground water,Carroll,MANNING,"1,455",19,15,10
IA1351027,MANSON WATER SUPPLY,Community water system,Ground water,Calhoun,MANSON,"1,709",11,30,11
IA0800601,MAPLE GROVE MHC,Community water system,Purchased ground water under influence of surface water source,Story,AMES,160,9,42,7
IA6727028,MAPLETON MUNICIPAL WATER PLANT,Community water system,Ground water,Monona,MAPLETON,"1,165",11,21,11
IA7000601,MAPLEWOOD ESTATES MHP,Community water system,Ground water,Muscatine,MUSCATINE,245,5,23,11
IA7329601,MAPLEWOOD MHP LLC,Community water system,Surface water purchased,Page,CLARINDA,82,4,0,0
IA4950029,MAQUOKETA MUNICIPAL WATER,Community water system,Ground water,Jackson,MAQUOKETA,"6,128",19,36,9
IA1150030,MARATHON LIGHT & WATER DEPARTMENT,Community water system,Ground water,Buena Vista,MARATHON,230,12,16,10
IA3420031,MARBLE ROCK WATER SUPPLY,Community water system,Ground water,Floyd,MARBLE ROCK,271,11,2,14
IA1838032,MARCUS WATER SUPPLY,Community water system,Ground water,Cherokee,MARCUS,"1,079",7,14,9
IA4843033,MARENGO WATER SUPPLY,Community water system,Ground water,Iowa,MARENGO,"2,435",21,20,11
IA6342711,MARION CO. RURAL WATER DISTRICT,Community water system,Ground water purchased,Marion,KNOXVILLE,"5,687",25,1,9
IA5751035,MARION MUNICIPAL WATER DEPT,Community water system,Ground water,Linn,MARION,"41,535",33,7,9
IA5751601,MARION VILLAGE,Community water system,Ground water purchased,Linn,MARION,850,4,19,9
IA7048301,MARK TWAIN MEADOWS HOMEOWNERS,Community water system,Ground water,Muscatine,MUSCATINE,375,6,15,10
IA2256041,MARQUETTE WATER SUPPLY,Community water system,Ground water,Clayton,MARQUETTE,429,14,7,11
IA6469042,MARSHALLTOWN WATER WORKS,Community water system,Ground water,Marshall,MARSHALLTOWN,"27,591",36,3,10
IA5337046,MARTELLE WATER WORKS,Community water system,Ground water,Jones,MARTELLE,249,9,2,9
IA9147047,MARTENSDALE WATER SUPPLY,Community water system,Surface water purchased,Warren,MARTENSDALE,421,9,2,11
IA1750048,MASON CITY WATER DEPARTMENT,Community water system,Ground water,Cerro Gordo,MASON CITY,"27,338",37,141,15
IA1558055,MASSENA WATER SUPPLY,Community water system,Ground water,Cass,MASSENA,364,12,24,15
IA8455056,MATLOCK WATER SUPPLY,Community water system,Ground water purchased,Sioux,MATLOCK,74,12,4,11
IA8458057,MAURICE MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Sioux,MAURICE,265,10,8,9
IA8557058,MAXWELL WATER DEPARTMENT,Community water system,Ground water,Story,MAXWELL,859,10,8,12
IA3350059,MAYNARD WATER SUPPLY,Community water system,Ground water,Fayette,MAYNARD,476,12,14,9
IA8255060,MAYSVILLE MUNICIPAL WATER DEPT,Community water system,Ground water,Scott,MAYSVILLE,156,9,26,10
IA8552010,MCCALLSBURG WATER SUPPLY,Community water system,Ground water purchased,Story,MCCALLSBURG,353,10,23,10
IA8245323,MCCARTY CREEK HOMEOWNERS ASSN #8,Community water system,Ground water,Scott,LE CLAIRE,85,5,18,11
IA2258012,MCGREGOR WATER DEPT,Community water system,Ground water,Clayton,MCGREGOR,742,16,0,9
IA5751301,MEADOW KNOLLS ADDITION,Community water system,Ground water,Linn,MARION,53,6,68,9
IA0900647,MEADOW LANE MOBILE HOME PARK,Community water system,Ground water,Bremer,DENVER,168,5,9,9
IA7000617,MECHA CEBA WATER SYSTEM ASSOCIATION,Community water system,Ground water,Muscatine,MUSCATINE,87,13,23,10
IA1667076,MECHANICSVILLE WATER DEPT,Community water system,Ground water,Cedar,MECHANICSVILLE,"1,020",10,7,10
IA2948062,MEDIAPOLIS WATER SUPPLY,Community water system,Surface water purchased,Des Moines,MEDIAPOLIS,"1,688",19,5,14
IA6471063,MELBOURNE WATER SUPPLY,Community water system,Ground water purchased,Marshall,MELBOURNE,786,12,4,10
IA6300099,MELCHER-DALLAS WATER SUPPLY,Community water system,Ground water,Marion,MELCHER-DALLAS,"1,195",11,7,9
IA7234069,MELVIN WATERWORKS,Community water system,Ground water purchased,Osceola,MELVIN,199,9,0,10
IA1849071,MERIDEN MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Cherokee,MERIDEN,161,5,1,9
IA7548072,MERRILL MUNICIPAL WATER SUPPLY,Community water system,Ground water,Plymouth,MERRILL,717,9,57,10
IA1754073,MESERVEY WATER SUPPLY,Community water system,Ground water,Cerro Gordo,MESERVEY,222,6,13,11
IA2952075,MIDDLETOWN WATER SUPPLY,Community water system,Surface water purchased,Des Moines,MIDDLETOWN,363,8,19,12
IA5784302,MIDWAY WATER AND LIGHTING,Community water system,Ground water,Linn,CEDAR RAPIDS,72,6,147,9
IA2573301,MIDWEST COUNTRY ESTATES,Community water system,Surface water purchased,Dallas,WAUKEE,820,5,0,4
IA4953078,MILES WATER DEPARTMENT,Community water system,Ground water,Jackson,MILES,408,9,57,9
IA3050079,MILFORD MUNICIPAL UTILITIES,Community water system,Surface water,Dickinson,MILFORD,"3,321",21,8,11
IA4852082,MILLERSBURG WATER DEPT,Community water system,Ground water purchased,Iowa,MILLERSBURG,135,10,25,10
IA9155083,MILO PUBLIC WATER SUPPLY,Community water system,Surface water purchased,Warren,MILO,788,8,22,10
IA8954084,MILTON WATER SUPPLY,Community water system,Surface water purchased,Van Buren,MILTON,380,9,0,11
IA2547085,MINBURN WATERWORKS,Community water system,Ground water purchased,Dallas,MINBURN,325,7,6,11
IA7849086,MINDEN WATER SUPPLY,Community water system,Ground water,Pottawattamie,MINDEN,600,20,9,10
IA5052087,MINGO WATER DEPARTMENT,Community water system,Ground water purchased,Jasper,MINGO,302,8,11,9
IA4344088,MISSOURI VALLEY WATER SUPPLY,Community water system,Ground water,Harrison,MISSOURI VALLEY,"2,678",15,3,11
IA7751092,MITCHELLVILLE WATER SUPPLY,Community water system,Ground water,Polk,MITCHELLVILLE,"2,515",13,6,11
IA4347093,MODALE WATER SUPPLY,Community water system,Ground water,Harrison,MODALE,273,7,2,14
IA5225601,"MODERN MANOR, INC",Community water system,Ground water,Johnson,IOWA CITY,915,7,16,11
IA4349094,MONDAMIN WATER SUPPLY,Community water system,Ground water,Harrison,MONDAMIN,339,8,21,16
IA4955001,MONMOUTH WATER SUPPLY,Community water system,Ground water,Jackson,MONMOUTH,129,8,2,11
IA2264095,MONONA MUNICIPAL WATER DEPT,Community water system,Ground water,Clayton,MONONA,"1,471",11,3,10
IA5054096,MONROE WATER SUPPLY,Community water system,Ground water purchased,Jasper,MONROE,"1,967",16,5,8
IA7950097,MONTEZUMA MUNI WATER SUPPLY,Community water system,Surface water,Poweshiek,MONTEZUMA,"1,545",15,9,12
IA5343098,MONTICELLO WATER SUPPLY,Community water system,Ground water,Jones,MONTICELLO,"4,040",15,11,9
IA5300688,MONTIPARK LLC,Community water system,Ground water,Jones,MONTICELLO,60,10,86,9
IA8666002,MONTOUR WATER SUPPLY,Community water system,Ground water purchased,Tama,MONTOUR,203,9,5,9
IA5650003,MONTROSE WATER WORKS,Community water system,Surface water purchased,Lee,MONTROSE,738,10,7,11
IA6731006,MOORHEAD WATER SUPPLY,Community water system,Ground water,Monona,MOORHEAD,199,8,22,20
IA9461007,MOORLAND WATER SUPPLY,Community water system,Ground water,Webster,MOORLAND,168,10,34,13
IA0467008,MORAVIA PUBLIC WATER SUPPLY,Community water system,Surface water purchased,Appanoose,MORAVIA,637,10,12,10
IA5349001,MORLEY MUNICIPAL WATER SUPPLY,Community water system,Ground water,Jones,MORLEY,98,6,50,8
IA5857011,MORNING SUN WATER DEPARTMENT,Community water system,Ground water,Louisa,MORNING SUN,752,8,3,10
IA0472012,MOULTON WATER DEPARTMENT,Community water system,Surface water purchased,Appanoose,MOULTON,607,8,1,10
IA0650001,MOUNT AUBURN WATER SUPPLY,Community water system,Ground water,Benton,MOUNT AUBURN,162,7,3,10
IA8055014,MOUNT AYR WATER TREATMENT PLANT,Community water system,Surface water purchased,Ringgold,MOUNT AYR,"1,623",14,61,11
IA4453016,MOUNT PLEASANT MUNICIPAL UTILITIES,Community water system,Ground water,Henry,MOUNT PLEASANT,"9,274",31,26,10
IA5758021,MOUNT VERNON WATER SUPPLY,Community water system,Ground water,Linn,MOUNT VERNON,"4,527",21,8,8
IA9753022,MOVILLE WATER SUPPLY,Community water system,Ground water,Woodbury,MOVILLE,"1,687",13,20,12
IA8222603,MT JOY MOBILE HOME PARK,Community water system,Ground water,Scott,DAVENPORT,173,7,61,12
IA2032023,MURRAY WATER WORKS,Community water system,Surface water purchased,Clarke,MURRAY,684,11,19,9
IA7048001,MUSCATINE POWER & WATER,Community water system,Ground water,Muscatine,MUSCATINE,"23,797",73,1,11
IA0477040,MYSTIC WATER SUPPLY,Community water system,Surface water purchased,Appanoose,MYSTIC,322,8,6,11
IA1967041,NASHUA WATER SUPPLY,Community water system,Ground water,Chickasaw,NASHUA,"1,551",13,18,8
IA7853043,NEOLA LIGHT & WATER,Community water system,Ground water,Pottawattamie,NEOLA,918,11,30,12
IA8562044,NEVADA WATER SUPPLY,Community water system,Ground water,Story,NEVADA,"6,925",21,21,10
IA0370047,NEW ALBIN WATER SUPPLY,Community water system,Ground water,Allamakee,NEW ALBIN,432,6,9,9
IA1970051,NEW HAMPTON WATER SUPPLY,Community water system,Ground water,Chickasaw,NEW HAMPTON,"3,494",13,5,9
IA1271058,NEW HARTFORD WATER SUPPLY,Community water system,Ground water,Butler,NEW HARTFORD,570,11,6,13
IA8538601,NEW HORIZONS OF HUXLEY LLC,Community water system,Ground water purchased,Story,HUXLEY,298,4,0,1
IA8264059,NEW LIBERTY WATER SUPPLY,Community water system,Ground water,Scott,NEW LIBERTY,138,5,8,11
IA4458060,NEW LONDON MUNIC WATER DEPT,Community water system,Ground water,Henry,NEW LONDON,"1,910",9,11,11
IA8758061,NEW MARKET WATER SUPPLY,Community water system,Surface water purchased,Taylor,NEW MARKET,385,6,18,12
IA4271062,NEW PROVIDENCE WATER SUPPLY,Community water system,Ground water,Hardin,NEW PROVIDENCE,236,8,1,11
IA3165014,NEW VIENNA WATER SUPPLY,Community water system,Ground water,Dubuque,NEW VIENNA,382,13,5,8
IA9159067,NEW VIRGINIA WATER SUPPLY,Community water system,Surface water purchased,Warren,NEW VIRGINIA,498,11,10,11
IA1155049,NEWELL WATER TREATMENT PLANT,Community water system,Ground water,Buena Vista,NEWELL,906,9,9,10
IA0653050,NEWHALL WATER SUPPLY,Community water system,Ground water,Benton,NEWHALL,876,10,14,9
IA5059064,NEWTON WATER SUPPLY,Community water system,Ground water,Jasper,NEWTON,"15,760",36,3,9
IA3423069,NORA SPRINGS WATER SUPPLY,Community water system,Ground water,Floyd,NORA SPRINGS,"1,369",13,2,11
IA9133601,NORTH AMERICAN MOBILE HOME PARK,Community water system,Ground water purchased,Warren,INDIANOLA,235,4,1,9
IA5200889,NORTH CORALVILLE LAKE MANOR,Community water system,Ground water,Johnson,CORALVILLE,55,6,30,11
IA6377701,NORTH CORP WATER,Community water system,Ground water purchased,Marion,PLEASANTVILLE,180,4,0,9
IA3100609,NORTH END MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,50,6,66,9
IA4858070,NORTH ENGLISH WATER DEPARTMENT,Community water system,Ground water,Iowa,NORTH ENGLISH,"1,065",8,15,11
IA5252072,NORTH LIBERTY WATER SUPPLY,Community water system,Ground water,Johnson,NORTH LIBERTY,"20,491",26,7,11
IA5200813,NORTH TWIN VIEW HEIGHTS,Community water system,Ground water,Johnson,SOLON,180,8,20,11
IA5225308,NORTHWOOD ESTATES,Community water system,Ground water,Johnson,IOWA CITY,52,5,26,10
IA9855077,NORTHWOOD WATERWORKS,Community water system,Ground water,Worth,NORTHWOOD,"2,072",14,9,12
IA9164078,NORWALK WATER SUPPLY,Community water system,Surface water purchased,Warren,NORWALK,"12,799",12,8,9
IA0656081,NORWAY CITY WATER SUPPLY,Community water system,Purchased ground water under influence of surface water source,Benton,NORWAY,466,11,18,9
IA5500838,"OAK LAKE MAINTENANCE, INC.",Community water system,Ground water,Kossuth,ALGONA,128,8,27,12
IA5225302,OAK RIDGE LAKE ESTATES,Community water system,Ground water,Johnson,SWISHER,88,7,32,10
IA3203301,OAK SHORES,Community water system,Ground water,Emmet,ARMSTRONG,55,9,0,4
IA5784311,OAK VALLEY,Community water system,Ground water,Linn,CEDAR RAPIDS,100,13,44,9
IA7856084,OAKLAND MUNIC WATER UTILITY,Community water system,Ground water,Pottawattamie,OAKLAND,"1,524",42,2,13
IA5868085,OAKVILLE WATER SUPPLY,Community water system,Ground water,Louisa,OAKVILLE,200,8,15,12
IA7709398,OAKWOOD PARK WATER INC.,Community water system,Surface water purchased,Polk,ANKENY,218,10,9,9
IA7239086,OCHEYEDAN WATER WORKS,Community water system,Ground water,Osceola,OCHEYEDAN,439,11,4,9
IA8144087,ODEBOLT WATER SUPPLY,Community water system,Ground water,Sac,ODEBOLT,994,16,13,9
IA3353088,OELWEIN MUNICIPAL WATER WORKS,Community water system,Ground water,Fayette,OELWEIN,"5,920",18,8,10
IA0858090,OGDEN MUNICIPAL UTILITIES,Community water system,Ground water,Boone,OGDEN,"2,007",14,13,10
IA3070473,OKOBOJI CAMP OWNERS COOPERATIVE,Community water system,Ground water purchased,Dickinson,SPIRIT LAKE,103,7,28,8
IA3060091,OKOBOJI WATER SUPPLY,Community water system,Surface water purchased,Dickinson,OKOBOJI,768,10,1,10
IA4465093,OLDS MUNICIPAL WATER DEPT,Community water system,Surface water purchased,Henry,OLDS,192,12,27,12
IA5355094,OLIN WATER SUPPLY,Community water system,Ground water,Jones,OLIN,651,10,11,11
